Law Id,State,Title,Significant_Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References
12476,MN,Electric School Bus Pilot,2020-08-13 01:32:01 UTC,FALSE,10,State Incentives,,2020-08-13 01:32:01 UTC,,,,,ELEC|PHEV,GNT,,GOV|OTHER,
12477,MN,Off-Road Diesel Replacement Grants,2020-08-13 01:36:51 UTC,FALSE,11,State Incentives,,2020-08-13 01:36:51 UTC,,,,,ELEC|HEV|IR|NG|PHEV|LPG,GNT,,FLEET|GOV,
12478,MN,Non-Residential Electric Vehicle Supply Equipment (EVSE) Rebate – Connexus Energy,2020-08-13 02:26:57 UTC,FALSE,45,Utility/Private Incentives,,2020-08-13 02:26:57 UTC,,,,,ELEC|PHEV,TAX,,STATION|FLEET|GOV|OTHER,
12479,MN,Electric Vehicle Supply Equipment (EVSE) Rebate - Runestone Electric Association,2020-08-13 02:30:39 UTC,FALSE,47,Utility/Private Incentives,,2020-08-13 02:30:39 UTC,,,,,ELEC|PHEV,TAX,,IND,
5218,ND,Ethanol Production Incentive,2003-01-01 00:00:00 UTC,FALSE,50,State Incentives,,,,,,,ETH,RBATE,,AFP,http://www.legis.nd.gov/general-information/north-dakota-century-code
5576,ND,Biodiesel and Renewable Diesel Sales Equipment Tax Credit,2013-04-18 00:00:00 UTC,FALSE,20,State Incentives,,,,,,,BIOD,TAX,,STATION,http://www.legis.nd.gov/general-information/north-dakota-century-code
5865,ND,Biodiesel and Renewable Diesel Blender Tax Credit,2011-04-25 00:00:00 UTC,FALSE,15,State Incentives,,,,,,,BIOD,TAX,,STATION,http://www.legis.nd.gov/general-information/north-dakota-century-code
5866,ND,Biofuel Loan Program,2011-04-25 00:00:00 UTC,FALSE,35,State Incentives,,,,,,,BIOD|ETH,LOANS,,STATION|AFP,http://www.legis.nd.gov/general-information/north-dakota-century-code
5869,ND,Alternative Fuel Tax Rates,2008-04-11 00:00:00 UTC,FALSE,83,Laws and Regulations,,2020-03-09 20:34:01 UTC,,,,,BIOD|ETH|NG|LPG,,FUEL,STATION|PURCH,http://www.legis.nd.gov/general-information/north-dakota-century-code|http://www.legis.nd.gov/
6170,ND,Biodiesel and Renewable Production and Blending Equipment Tax Credit,2011-04-25 00:00:00 UTC,FALSE,25,State Incentives,,,,,,,BIOD,TAX,,AFP,http://www.legis.nd.gov/general-information/north-dakota-century-code
6231,ND,Renewable Fuels Promotion,2007-03-08 00:00:00 UTC,FALSE,87,Laws and Regulations,,,,,,,BIOD|ETH|HY,,CCEINIT,OTHER,http://www.legis.nd.gov/general-information/north-dakota-century-code
6234,ND,Biofuel Labeling Requirements,2011-04-25 00:00:00 UTC,FALSE,78,Laws and Regulations,,2020-03-09 20:25:37 UTC,,,,,BIOD|ETH|HY|NG|LPG,,REGIS,STATION,http://www.legis.nd.gov/general-information/north-dakota-century-code
6550,ND,Advanced Biofuel Incentives,2009-04-22 00:00:00 UTC,FALSE,60,State Incentives,,,,,,,BIOD|ETH,GNT|LOANS,,OTHER,http://www.legis.nd.gov/general-information/north-dakota-century-code
6551,ND,Low-Speed Vehicle Access to Roadways,2009-04-21 00:00:00 UTC,FALSE,90,Laws and Regulations,,,,,,,NEVS,,DREST,FLEET|GOV|IND,http://www.legis.nd.gov/general-information/north-dakota-century-code
9299,ND,Agriculturally-Derived Fuel Production Facility Loan Guarantees,2013-03-26 00:00:00 UTC,FALSE,40,State Incentives,,2018-10-09 19:13:16 UTC,,,,,BIOD|ETH,LOANS,,AFP,http://www.legis.nd.gov/general-information/north-dakota-century-code
9300,ND,Biodiesel and Renewable Diesel Definitions,2011-04-25 00:00:00 UTC,FALSE,80,Laws and Regulations,,,,,,,BIOD,,STD,STATION|AFP|PURCH,http://www.legis.nd.gov/general-information/north-dakota-century-code
9492,ND,Experimental Vehicle Definition and Requirements,2020-03-09 20:53:29 UTC,FALSE,95,Laws and Regulations,,2020-03-09 20:53:29 UTC,,,,,ELEC,,REGIS,STATION|AFP|PURCH,http://www.legis.nd.gov/general-information/north-dakota-century-code
11802,ND,Autonomous Vehicle (AV) Study,2017-01-03 00:00:00 UTC,FALSE,97,Laws and Regulations,,2017-06-12 15:05:58 UTC,,,,,AUTONOMOUS,,DREST|REGIS,OTHER,http://www.legis.nd.gov/
12199,ND,Plug-In Electric Vehicle (PEV) Fee,2019-04-11 00:00:00 UTC,FALSE,62,Laws and Regulations,,2019-04-19 16:44:30 UTC,,,,,ELEC|PHEV,,FUEL,FLEET|IND,https://www.legis.nd.gov/|http://www.legis.nd.gov/general-information/north-dakota-century-code
12200,ND,Plug-In Electric Vehicle (PEV) Charging Signage and Parking Space Regulation,2019-04-01 00:00:00 UTC,FALSE,65,Laws and Regulations,,2019-04-19 16:47:47 UTC,,,,,ELEC|PHEV,,OTHER,STATION|IND,https://www.legis.nd.gov/|http://www.legis.nd.gov/general-information/north-dakota-century-code
12209,ND,Support for Autonomous Vehicle (AV) Operation,2019-04-11 00:00:00 UTC,FALSE,70,Laws and Regulations,,2019-05-08 16:09:49 UTC,,,,,AUTONOMOUS,,DREST,GOV|OTHER,https://www.legis.nd.gov/|http://www.legis.nd.gov/general-information/north-dakota-century-code
12210,ND,Autonomous Vehicle (AV) Network Companies,2019-04-11 00:00:00 UTC,FALSE,74,Laws and Regulations,,2019-05-08 16:12:50 UTC,,,,,AUTONOMOUS,,DREST,FLEET|OTHER,https://www.legis.nd.gov/|http://www.legis.nd.gov/general-information/north-dakota-century-code
12379,ND,Autonomous Vehicle (AV) Pilot Program,2020-03-09 20:55:35 UTC,FALSE,50,Laws and Regulations,,2020-03-09 20:55:35 UTC,,,,,AUTONOMOUS,,DREST,GOV,
5134,SD,Ethanol and Biobutanol Production Incentive,2012-03-31 00:00:00 UTC,FALSE,10,State Incentives,,2018-06-26 15:49:35 UTC,,,2022-07-01 00:00:00 UTC,,ETH|OTHER,TAX,,AFP,http://legis.sd.gov/Statutes/Codified_Laws/default.aspx|http://sdlegislature.gov/
5137,SD,Propane Tax Exemption,,FALSE,25,State Incentives,,,,,,,LPG,EXEM|TAX,,STATION|PURCH|FLEET|IND,http://legis.sd.gov/Statutes/Codified_Laws/default.aspx
5720,SD,Biodiesel Tax,2008-03-17 00:00:00 UTC,FALSE,50,Laws and Regulations,,,,,,,BIOD,,FUEL,PURCH,http://legis.sd.gov/Statutes/Codified_Laws/default.aspx
6187,SD,Ethanol Blend Definition,2009-03-12 00:00:00 UTC,FALSE,70,Laws and Regulations,,,,,,,ETH,,STD,STATION|AFP|PURCH,http://legis.sd.gov/Statutes/Codified_Laws/default.aspx
6189,SD,Fuel Quality Standards,,FALSE,45,Laws and Regulations,,,,,,,BIOD|ETH,,STD,STATION|AFP|PURCH,http://legis.sd.gov/Statutes/Codified_Laws/default.aspx
6190,SD,Ethanol Production Facility Fee,2007-03-02 00:00:00 UTC,FALSE,35,Laws and Regulations,,,,,,,ETH,,STD|REGIS,AFP,http://legis.sd.gov/Statutes/Codified_Laws/default.aspx
6520,SD,Biodiesel Blend Tax Credit,2009-03-12 00:00:00 UTC,FALSE,5,State Incentives,,,,,,,BIOD,TAX,,STATION|AFP|PURCH,http://legis.sd.gov/Statutes/Codified_Laws/default.aspx
6523,SD,Tax Refund for Methanol Used in Biodiesel Production,2009-03-05 00:00:00 UTC,FALSE,20,State Incentives,,,,,,,BIOD,TAX,,AFP,http://legis.sd.gov/Statutes/Codified_Laws/default.aspx
9192,SD,Ethanol Infrastructure Grants,2012-03-31 00:00:00 UTC,FALSE,15,State Incentives,,2018-06-26 15:50:55 UTC,,,2022-07-01 00:00:00 UTC,,ETH,GNT,,STATION,http://sdlegislature.gov/|http://legis.sd.gov/Statutes/Codified_Laws/default.aspx
9193,SD,Biofuel Franchising Contract Regulations,2011-03-09 00:00:00 UTC,FALSE,60,Laws and Regulations,,,,,,,BIOD|ETH,,OTHER,STATION,http://legis.sd.gov/Statutes/Codified_Laws/default.aspx
12196,SD,Alternative Fuel Tax,2009-03-12 00:00:00 UTC,FALSE,55,Laws and Regulations,,,,,,,ETH|NG|LPG,,FUEL,FLEET|IND,http://legis.sd.gov/Statutes/Codified_Laws/default.aspx
12400,SD,Diesel Emission Reduction Grants,,FALSE,4,State Incentives,,,,,,,BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG,GNT,,FLEET|GOV,
12401,SD,Volkswagen (VW) Settlement Allocation,2019-03-05 00:00:00 UTC,FALSE,30,Laws and Regulations,,2020-05-11 18:00:01 UTC,,,,,BIOD|ETH|ELEC|HEV|IR|NG|PHEV|LPG,,AIRQEMISSIONS,OTHER,https://sdlegislature.gov/
12550,SD,Plug-In Electric Vehicle (PEV) Fee,2021-02-22 00:00:00 UTC,TRUE,28,Laws and Regulations,,2021-04-10 17:29:47 UTC,,,,,ELEC|PHEV,,FUEL,IND,https://sdlegislature.gov/Session/Bills/44
